2,2
0,0
0.0037,0.0062
0.0149,0.029
0.0291,0.0497
0.0471,0.0766
0.0719,0.1029
0.0978,0.1308
0.1178,0.1504
0.1367,0.1663
0.1578,0.1827
0.1762,0.1961
0.1957,0.2136
0.2136,0.229
0.2357,0.2434
0.2546,0.2572
0.2778,0.2726
0.3009,0.2864
0.3272,0.3027
0.3524,0.3176
0.3766,0.3308
0.4092,0.3518
0.4396,0.366
0.4696,0.3829
0.4953,0.3966
0.5211,0.4109
0.5484,0.4247
0.5741,0.4363
0.5983,0.4501
0.6261,0.4628
0.6534,0.4776
0.6807,0.4914
0.707,0.5041
0.7369,0.5167
0.7673,0.5304
0.7962,0.5442
0.8162,0.5533
0.8435,0.566
0.8724,0.5782
0.9018,0.5919
0.9406,0.6086
0.9648,0.6198
1.0004,0.6334
